CC(C)(O)[C@]1(O)C=C2C(=O)C[C@@H]3[C@](C)(CCC[C@@]3(C)CO)[C@H]2CC1 LTS0080159
CC(=O)O[C@@]12CCC(C)=CC[C@]13CC[C@H]2[C@](C)(/C=C/C=C(\C)C(=O)O)OC3=O LTS0150836
CC1=CCC(C(C)C)C=C1 LTS0157173
C[C@]1(CO)CCC[C@]2(C)[C@@H]1CC[C@]13C=C(C(=O)O)[C@H](CC[C@@H]21)C3 LTS0092318
CC(C)(O)c1ccc2c(c1)C(=O)CC1C(C)(O)CCCC21C LTS0171116
C=C/C(C)=C\C[C@@H]1[C@@]2(C)CCC[C@](C)(COC(C)=O)[C@@H]2CC[C@@]1(C)O LTS0232782
C=C1CC[C@H]2C[C@@H]1C2(C)C LTS0108757
C=C/C(C)=C\C[C@@H]1[C@@]2(C)CCC[C@](C)(C=O)[C@@H]2CC[C@@]1(C)O LTS0146071
COC(=O)C1=CCC23CCC(C(C)(C=CC=C(C)C(=O)OCC(O)CO)OC2=O)C3(O)CC1 LTS0142911
CCC(CCC(C)C1CCC2C3CCC4CC(=O)CCC4(C)C3CCC12C)C(C)C LTS0136726
CC(C)c1ccc2c(c1)C(O)CC1C(C)(O)CCCC21C LTS0257528
CC1=CC[C@@H]2[C@H](C1)C2(C)C LTS0250199
CC(C)[C@]1(O)C=C2C(=O)C[C@H]3[C@](C)(C(=O)O)CCC[C@]3(C)[C@H]2CC1 LTS0130221
CC(=O)O[C@]12CC=C(C)C(=O)C[C@]13CC[C@H]2[C@@](C)(/C=C/C=C(\C)C(=O)O)OC3=O LTS0113570
CC(C)(O)c1cc2c(cc1O)C1(C)CCCC(C)(C(=O)O)C1CC2 LTS0183990
CC(C)C1=CC[C@H]2C(=C1)CC[C@H]1[C@](C)(CO)CCC[C@]21C LTS0184224
COC(=O)C1=CCC23CCC(C(C)(C=CC=C(C)C(=O)O)OC2=O)C3(OC(C)=O)CC1 LTS0118134
